169.trim	18.0	26.5	68.0	122.5	169.0	236.0	371.5	638.5	1001.5	1420.0	2013.5	2910.0	4051.5	6024.0	8733.0	12287.5	17704.0	26000.0	37956.5	54167.5	76659.0	109364.5	161962.5	203443.5	231474.5	273621.5	329445.5	383947.0	444822.0	526309.5	612261.5	707153.5	785083.0	787379.5	730404.0	664262.0	591853.5	533328.0	493433.5	459187.5	444521.0	457098.5	476234.0	465923.5	415994.5	356931.5	313198.5	282109.5	258751.0	228928.0	192500.5	169863.0	152992.0	129953.5	107777.5	89756.0	79505.5	79633.5	79665.5	70666.0	57280.0	44974.0	34745.5	23736.0	15272.5	13501.0	13014.0	11389.5	11309.0	10539.5	7691.0	4606.5	2322.5	1338.5	919.0	651.0	401.5	231.0	136.0	81.5	53.5	34.0	24.5	19.5	16.0	12.5	10.0	8.5	5.5	3.0	2.0	1.5	0.5	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0
171.trim	23.0	34.5	83.0	138.0	192.0	288.0	466.5	762.0	1148.5	1588.0	2208.0	3183.0	4381.5	6216.0	8590.5	11622.5	16237.5	23219.0	33602.0	47743.0	66771.5	94523.5	138248.5	174194.5	201283.0	237956.0	283363.0	328265.0	377005.0	441593.5	512964.0	601042.0	675384.0	678687.5	625944.5	558137.0	480275.5	416334.0	374763.5	340447.5	323380.5	331863.0	348618.0	334554.5	284667.0	234123.0	198518.5	171654.0	154157.0	136253.5	114072.0	95809.5	81273.5	68887.5	57523.0	48234.0	41898.5	37643.5	34370.5	30026.0	24366.0	18867.5	14023.5	10047.5	7436.5	6746.5	6488.0	5757.5	5681.5	5059.0	3558.5	2307.5	1365.5	854.5	587.5	415.0	258.5	147.0	94.5	58.5	31.5	16.0	10.5	11.5	11.5	8.5	7.0	6.5	5.0	2.5	2.0	1.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	1.0
172.trim	5.0	7.5	23.5	45.5	59.5	78.5	132.0	248.0	415.5	582.0	812.5	1195.5	1680.0	2468.5	3538.5	5034.5	7383.0	10964.5	16356.5	23498.0	33277.5	47999.5	70768.5	89842.5	103583.5	122130.5	145889.0	170210.0	199757.5	237035.0	275795.0	322547.5	360773.0	362290.0	337334.5	307268.0	274544.5	247460.0	229617.0	216319.0	211144.5	217454.0	226400.0	219640.0	192244.0	162230.5	140652.5	125355.0	114849.0	101758.0	85586.5	74430.5	68260.5	60768.0	50588.5	40833.0	34768.0	33234.5	32193.0	28291.5	22604.0	17047.5	12825.0	9518.5	6617.5	5405.0	4965.5	4119.0	3763.0	3486.0	2746.0	1856.0	1054.5	572.0	390.5	280.5	168.0	105.0	71.0	46.0	29.5	18.0	15.5	12.0	9.0	6.0	4.0	4.0	2.5	1.0	1.0	1.0	1.0	0.5	0.0	0.0	0.5	0.5	0.0	1.0	2.5
181.trim	5.0	7.0	24.0	45.5	67.0	106.0	159.5	226.0	324.0	457.5	646.5	931.5	1274.0	1820.0	2590.5	3595.5	5309.0	8268.0	12766.5	18629.0	26468.5	37202.0	53509.0	68705.0	81346.5	100325.0	122643.5	140156.0	155535.0	174822.5	197119.5	224012.5	246466.0	246665.0	228768.0	204491.5	173043.5	145588.5	126788.0	111547.5	102366.5	98810.5	99431.0	90972.0	72943.0	58463.0	46627.5	37331.0	31370.0	26348.0	22188.5	19379.5	16836.5	14108.5	11488.5	9024.5	6981.0	5460.0	4517.0	4078.0	3509.5	2759.0	2119.5	1524.0	1102.0	910.5	818.0	702.0	665.0	633.0	550.0	386.5	185.0	100.5	67.0	39.0	21.5	9.0	3.0	1.5	1.5	2.0	2.0	2.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183.trim	7.0	11.0	43.0	83.0	107.5	158.0	272.0	466.0	719.5	1035.5	1478.0	2124.0	2896.5	4166.5	6067.5	8813.0	12847.5	18662.5	28040.5	41166.0	59494.5	87782.5	137956.5	177674.0	204100.0	240720.0	284236.0	321863.5	364270.0	432410.5	511372.5	609196.5	687566.0	690785.5	644529.5	587937.5	526059.0	480303.0	452366.0	428095.5	419568.0	440272.5	470249.5	461235.5	402972.0	334679.0	285295.0	251193.0	226925.5	198257.0	163228.0	139375.5	123024.0	102761.0	82193.0	66452.5	55537.5	49735.5	45502.5	39534.0	32193.5	24886.0	18873.0	13372.0	9110.0	7225.5	6088.0	5125.5	4432.0	3695.5	2839.0	2008.5	1307.0	808.5	543.5	416.0	302.0	210.0	146.5	105.5	82.0	58.0	43.0	30.5	19.0	13.5	11.0	11.5	8.5	4.5	3.5	2.5	1.5	1.0	1.0	1.0	1.0	1.0	0.5	0.0	0.0
184.trim	4.0	6.5	17.0	28.5	37.0	52.5	101.0	189.0	310.5	460.0	650.0	911.0	1196.5	1710.0	2386.0	3172.0	4403.5	6437.0	9585.5	13753.5	19386.5	27898.5	41733.0	52751.5	60910.0	72938.0	88296.0	103608.5	122025.0	145944.0	170546.0	200045.5	224912.5	227729.5	214530.5	197875.0	179040.5	164748.0	156234.0	150397.5	150617.0	158262.0	166870.5	162650.0	142615.5	121598.0	108534.5	100897.5	94833.0	84332.5	70242.5	59386.5	51700.5	43940.0	36592.0	30569.0	26540.5	25074.5	24286.0	21654.5	17238.5	12776.5	9410.5	6383.5	4267.5	3801.0	3632.0	3152.5	2804.0	2479.5	2000.5	1439.0	906.0	541.5	351.5	263.5	187.0	124.0	78.5	47.0	28.0	18.5	13.0	8.0	5.0	3.5	2.5	2.0	2.5	3.0	3.0	3.0	3.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
185.trim	1.0	3.5	12.0	21.5	27.0	35.5	55.5	98.0	160.0	234.5	327.0	458.0	617.5	842.0	1174.5	1737.0	2573.5	3796.5	5753.5	8467.0	12199.5	18812.0	31158.5	39775.5	44066.0	51572.0	62301.0	73097.5	85722.5	104823.0	128384.0	159393.0	184904.0	184205.5	165676.5	144378.0	120724.5	102378.5	91114.0	82380.5	80225.0	88801.5	100952.5	99682.0	82357.5	63199.5	50948.0	44244.5	40796.0	36426.5	30031.5	26201.0	23912.5	20246.0	16577.0	13845.0	11987.5	11054.0	10504.5	9290.5	7619.5	5802.0	4168.0	2807.0	1882.0	1543.5	1421.5	1324.0	1285.0	1260.5	1167.5	904.5	599.0	434.0	351.0	280.0	188.5	107.0	54.5	26.5	10.5	2.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0
291.trim	9.0	12.0	31.0	56.0	73.0	100.5	161.5	304.5	500.5	715.5	1050.0	1587.0	2304.5	3450.0	4915.0	6928.5	9984.5	14331.0	21145.5	30493.5	44137.5	62930.0	91016.0	113430.0	130928.5	153378.0	177762.5	201223.5	227786.0	268350.0	312479.0	361998.0	400923.0	418231.5	417194.5	391847.5	363847.5	351557.5	349568.5	348324.5	350139.5	365565.5	381148.0	377569.5	343041.5	294857.0	264940.5	244844.5	224014.0	201588.0	176428.5	163497.0	155250.0	135908.5	115094.0	102154.5	100482.5	103335.0	96392.0	78586.5	60776.0	45822.0	34562.0	24249.0	15642.0	11847.5	9560.0	7629.5	6204.5	4802.0	3449.0	2569.5	1907.5	1187.5	674.0	433.0	318.5	241.5	165.0	111.5	76.5	54.0	46.5	34.0	19.5	15.5	14.5	14.5	12.0	9.5	10.0	11.0	10.5	9.0	5.5	3.0	3.0	3.0	2.5	2.0	2.0
292.trim	5.0	6.5	10.0	12.5	15.0	22.0	40.0	90.5	156.5	217.5	298.5	448.0	668.0	1076.5	1627.5	2337.0	3460.5	5229.0	7937.5	11428.5	16474.5	23273.5	31263.5	42027.5	55564.0	70877.5	88384.5	107729.5	133859.0	164857.5	199336.0	241952.0	282810.0	302497.5	310331.5	319098.0	318058.0	314083.5	311951.0	309794.0	310909.5	311853.0	307261.0	298720.0	288803.5	278092.0	266031.5	251250.5	234210.5	220193.0	199403.5	177259.5	164238.0	147147.5	125982.0	104610.5	88778.5	79420.5	68683.0	55106.5	43025.0	34163.5	28282.5	21527.5	15186.0	11985.5	9638.0	8030.5	6849.5	5333.0	3777.5	2746.0	2058.5	1431.5	943.0	649.5	488.5	391.5	279.5	180.5	122.0	83.5	61.5	41.0	25.0	18.0	14.0	12.5	7.5	3.0	3.0	3.0	3.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
293.trim	6.0	9.0	21.0	33.5	39.5	56.0	94.0	156.5	246.0	348.0	463.0	619.5	842.5	1202.0	1610.0	2151.5	3005.5	4254.0	6116.5	8857.5	12879.5	18505.5	25929.0	36336.5	49200.0	64067.0	81494.5	100679.0	124599.0	151933.0	183377.0	221433.0	256843.5	273931.0	277014.5	279818.0	279043.5	277385.5	280190.0	284839.5	289760.5	292877.5	289606.5	280080.0	267886.5	257381.5	251985.0	244741.0	231353.5	217076.0	198172.5	188513.5	185546.5	168125.0	140018.5	110324.0	95833.5	99486.5	100733.5	91502.5	77905.5	63753.0	52322.5	41125.5	30294.0	22605.0	17263.5	13848.0	11691.5	9287.5	6884.0	5052.0	3582.5	2236.5	1258.5	819.0	599.5	457.0	307.5	179.5	114.0	79.5	63.0	40.5	19.5	12.0	8.5	7.5	5.5	4.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
