Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
533.trim	533.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5204071.0	0.0	20-100	39.0	49.89734184158524	87.76229993787555	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
541.trim	541.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	7018861.0	0.0	20-100	37.0	44.499967600119724	79.58598182810573	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
542.trim	542.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6181692.0	0.0	20-100	36.0	34.92072824165669	80.70634027059258	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
543.trim	543.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	3923848.0	0.0	20-100	35.0	60.94066047229004	77.62281566462309	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
551.trim	551.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	7462460.0	0.0	20-100	35.0	52.91981931573463	82.66021606815983	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
552b.trim	552b.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4239829.0	0.0	20-100	37.0	50.453991957735056	82.6136969203239	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
553.trim	553.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4827655.0	0.0	20-100	38.0	63.25036673350928	85.33879575073198	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
554.trim	554.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	7993552.0	0.0	20-100	39.0	59.22558628238611	82.1564080649003	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
561.trim	561.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6343297.0	0.0	20-100	35.0	13.692808376120368	88.57696116073392	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
562.trim	562.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	14984547.0	0.0	20-100	40.0	22.76104735701919	76.5871352667518	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
563.trim	563.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	8250108.0	0.0	20-100	35.0	35.27452260702771	85.07646445355624	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
564.trim	564.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4478206.0	0.0	20-100	38.0	60.396513497241735	85.40408324226264	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
565.trim	565.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5459207.0	0.0	20-100	42.0	23.4955169076624	85.00552589414544	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
571.trim	571.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	730357.0	0.0	20-100	46.0	17.709001966252654	66.36789405728979	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
Undetermined.trim	Undetermined.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	13289142.0	0.0	20-100	41.0	28.458458419166178	91.16141132362044	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
